ID,Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
20,Baird's Tapir,76-107,150-400,"Brown, Black",25-30,herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",48,Central and South America,Endangered,Tapiridae,390-395,48,Solitary,1
21,Bald Eagle,70-102,3-6,"Brown, White",20-30,carnivore,"Forests, Lakes, Coasts","Wolves, Raccoons",120,North America,Least Concern,Accipitridae,34-36,120,Solitary,1-3
22,Banded Palm Civet,41-71,2-5,"Brown, Black, White",7-10,omnivore,Forests,Birds of Prey,16,"Southeast Asia, South Asia",Least Concern,Viverridae,60-64,16,Solitary,2-5
23,Barbary Macaque,Up to 75,5-13,"Brown, Gray",Up to 30,herbivore,"Forests, Mountains","Leopards, Eagles",30,"Gibraltar, North Africa, Middle East",Endangered,Cercopithecidae,165-200,30,Group-based,1
25,Bearded Dragon,Up to 60,Up to 600,Various,6-15,omnivore,"Deserts, Woodlands","Birds, Snakes",52.0,Australia,Not Evaluated,Agamidae,40-70,40-64,Solitary,Up to 24
26,Bengal Fox,35-40,2.5-4,Yellowish-gray,6-8,omnivore,Grasslands,"Wolves, Birds of Prey",40,"India, Nepal, Bhutan",Least Concern,Canidae,50-60,40,Solitary,2-5
27,Bengal Tiger,90-110,220-260,"Orange, Black",10-15,carnivore,"Grasslands, Mangroves","Humans, Crocodiles",65,"India, Bangladesh, Nepal",Endangered,Felidae,104-106,65,Solitary,2-4 (usually)
28,Black Rhinoceros,132-180,"800-1,400","Gray, Black",35-50,herbivore,"Grasslands, Forests","Lions, Hyenas",56,Eastern and Southern Africa,Critically Endangered,Rhinocerotidae,450-480,56,Solitary,1
31,Blue Jay,22-30,0.07-0.12,"Blue, White",6-15,omnivore,"Forests, Urban Areas","Birds of Prey, Snakes",32,North America,Least Concern,Corvidae,17-18,32,Flocks,2-6
34,Blue-Footed Booby,81-85,1.5-3,"Blue, White",12-17,carnivore,Coastal Areas,"Orcas, Sharks",30.0,Eastern Pacific (GalÃ¡pagos Islands),Least Concern,Sulidae,41-45,25-35,Group-based,1
36,Bonobo,Up to 150,30-40,Black,40-60,omnivore,Rainforests,"Leopards, Humans",50.0,Democratic Republic of Congo,Endangered,Hominidae,220-230,40-60,Social groups,1
37,Bornean Orangutan,96-150,30-82,Reddish-brown,35-45,omnivore,Rainforests,"Tigers, Humans",52.0,Borneo,Critically Endangered,Hominidae,230-270,40-64,Solitary,1
38,Bottlenose Dolphin,200-400,150-650,Grey,20-50,carnivore,Oceans,"Sharks, Orcas",37,Oceans worldwide,Least Concern,Delphinidae,12 months,64,Social pods,1
39,Boxer Dog,53-63,25-32,"Fawn, Brindle",10-12,omnivore,Human Dwellings,Not Applicable,64,Worldwide,Not Applicable,Canidae,63,64,Social groups,3-8
41,Brown Bear,70-120,70-780,Brown,20-30,omnivore,"Forests, Mountains","Wolves, Tigers",48,"North America, Europe, Asia",Least Concern,Ursidae,180-250,48,Solitary,1-4
42,Burmese Python,Up to 460,Up to 90,"Brown, Black",20-25,carnivore,"Grasslands, Forests","Leopards, Hawksbills",2.0,"Southeast Asia, South Asia, Indonesia",Least Concern,Pythonidae,88-100,1.6-2.4,Solitary,30-80
43,Capybara,50-62,35-66,Brown,8-10,herbivore,"Grasslands, Swamps","Jaguars, Anacondas",32.5,South America,Least Concern,Caviidae,150,35,Group-based,2-8
44,Cheetah,70-90,20-72,Tan with Black Spots,10-12,carnivore,"Grasslands, Savannas","Lions, Hyenas",112,"Africa, Iran, India",Vulnerable,Felidae,90-98,112,Solitary,3-5
45,Chimpanzee,Up to 160,26-70,Black,40-50,omnivore,"Rainforests, Grasslands","Leopards, Humans",40,Central and West Africa,Endangered,Hominidae,230-240,40,Social groups,1
47,Clownfish,7-10,50-300,Orange,6-10,omnivore,Coral Reefs,"Larger Fish, Anemones",8,"Indian, Pacific Oceans",Not Evaluated,Pomacentridae,6-10,1.6,Group-based,"Up to 1,000"
49,Common Dolphin,200-250,100-135,"Gray, Yellow",20-25,carnivore,"Oceans, Coastal Areas","Sharks, Orcas",60,Worldwide,Least Concern,Delphinidae,360-380,60,Group-based,1
51,Coquerel's Sifaka,40-50,3-6,"White, Black",15-18,herbivore,"Rainforests, Madagascar","Fossa, Hawks",37.5,Madagascar,Endangered,Indriidae,140-160,30,Group-based,1
52,Dalmatian Dog,50-61,23-32,"White, Black",10-13,omnivore,Worldwide,"Wolves, Birds of Prey",42.5,Worldwide,Not Applicable,Canidae,63,37,Pack-based,6-9
53,Dhole,50-55,12-21,"Red, Brown",10-15,carnivore,"Forests, Grasslands","Tigers, Leopards",56,Asia,Endangered,Canidae,60-63,56,Pack-based,4-8
54,Dingo,48-58,13-20,"Tan, Brown",10-15,carnivore,"Grasslands, Forests","Humans, Dingoes",56.0,Australia,Least Concern,Canidae,63,48-64,Group-based,1-10
55,Dugong,Up to 300,Up to 420,Gray,70-80,herbivore,"Coastal Waters, Seagrass","Sharks, Orcas",12.5,"Indian Ocean, Western Pacific",Vulnerable,Dugongidae,13-14 months,27,Solitary,1
56,Eastern Gorilla,140-188,73-204,Black,40-50,herbivore,Rainforests,"Leopards, Humans",40,Democratic Republic of Congo,Endangered,Hominidae,255-270,40,Social groups,1
57,Echidna,30-45,2.5-6.5,"Brown, Tan",15-20,carnivore,"Forests, Grasslands","Dingoes, Eagles",36.0,"Australia, New Guinea",Least Concern,Tachyglossidae,22-28,16-56,Solitary,1
59,Emperor Penguin,100,22-45,"Black, White",15-20,carnivore,Antarctic,Leopard Seals,2.25,Antarctica,Near Threatened,Spheniscidae,62-66,9,Colony-based,1
60,Emperor Tamarin,23-26,300-400,"Black, White",10-15,omnivore,Rainforests,"Snakes, Hawks",32,Amazon Rainforest,Least Concern,Callitrichidae,140-145,32,Group-based,1-2
61,European Hedgehog,14-30,0.6-1.2,"Brown, Spiny",2-5,omnivore,"Gardens, Grasslands","Foxes, Badgers",5.0,"Europe, Asia",Least Concern,Erinaceidae,35,4-6,Solitary,3-7
62,Fennec Fox,20-40,0.8-1.6,Cream,10-14,omnivore,Sahara Desert,"Eagles, Jackals",32,North Africa,Least Concern,Canidae,50-52,32,Solitary,2-5
64,Flying Fox,Up to 40,Up to 1.1,"Brown, Gray",15-23,herbivore,Forests,Birds of Prey,45.0,"Asia, Australia",Least Concern,Pteropodidae,140-150,40-50,Group-based,1
65,Fossa,70-90,5-8,"Brown, Reddish-brown",15-20,carnivore,"Rainforests, Madagascar","Humans, Larger Predators",46.5,Madagascar,Vulnerable,Eupleridae,90,45-48,Solitary,2-4
67,GalÃ¡pagos Penguin,49-53,1.5-2.5,"Black, White",Up to 15,carnivore,Coastal Areas,"Orcas, Sharks",29.5,GalÃ¡pagos Islands,Endangered,Spheniscidae,40,24-35,Solitary,1
69,Galápagos Tortoise,Up to 183,Up to 417,"Brown, Grey",100-150,herbivore,Galápagos Islands,"Humans, Rats",0.4,Galápagos Islands,Vulnerable,Testudinidae,135,0.3,Solitary,Up to 16
71,Gaur,180-300,600-1300,"Dark Brown, Black",20-25,herbivore,"Grasslands, Forests","Tigers, Leopards",35.0,"Southeast Asia, South Asia",Vulnerable,Bovidae,275-280,30-40,Herd-based,1
72,Gerenuk,80-105,28-52,"Brown, White",8-10,herbivore,"Savannas, Scrublands","Lions, Leopards",55,"Eastern Africa, Horn of Africa",Near Threatened,Bovidae,170-215,95,Solitary,1
73,Gharial,Up to 600,Up to 1500,Brownish-gray,40-60,carnivore,"Rivers, Lakes","Crocodiles, Tigers",32,Indian subcontinent,Critically Endangered,Gavialidae,94-123,32,Solitary,20-95
74,Giant Pacific Octopus,Up to 5,Up to 25,"Red, Brown",3-5,carnivore,Ocean Floor,"Fish, Sharks",24,Pacific Ocean,Data Deficient,Enteroctopodidae,50-70,24,Solitary,"Up to 200,000"
75,Giant Panda,70-90,70-125,"Black, White",20-30,herbivore,Temperate Broadleaf Forests,Snow Leopards,32,China,Endangered,Ursidae,95-160,32,Solitary,1
76,Gila Monster,Up to 60,Up to 2.3,"Black, Orange",Up to 20,carnivore,"Deserts, Scrubland","Birds of Prey, Coyotes",1.5,"Southwestern United States, Mexico",Least Concern,Helodermatidae,120-150,Not Applicable,Solitary,Not Applicable
78,Goblin Shark,Up to 320,Up to 210,Pinkish-gray,30-35,carnivore,Deep-sea,"Larger Fish, Other Sharks",2.3,Worldwide,Data Deficient,Mitsukurinidae,Not Applicable,Not Applicable,Solitary,Not Applicable
80,Golden Lion Tamarin,Up to 35,Up to 0.7,"Golden, Reddish-brown",10-15,omnivore,Tropical Rainforests,"Birds, Snakes",10.5,"Brazil, Southeastern Bahia",Endangered,Callitrichidae,125-130,8-13,Social groups,1-3
82,Great White Shark,Up to 610,Up to 2268,Grey,30-40,carnivore,Oceans,Orcas,56,Oceans worldwide,Vulnerable,Lamnidae,12-18 months,56,Solitary,2-14 (approx.)
83,Great White Shark,Up to 670,Up to 2268,"Gray, White",70,carnivore,Oceans,Orcas,56,Worldwide,Vulnerable,Lamnidae,12-18,56,Solitary,2-17
84,Green Anaconda,Up to 550,Up to 97.5,Olive-green,10-15,carnivore,"Swamps, Marshes","Jaguars, Caymans",20.0,South America,Least Concern,Boidae,150-160,24,Solitary,Up to 80
85,Green Sea Turtle,Up to 120,Up to 200,Greenish-brown,80-100,herbivore,"Oceans, Coastal Areas",Predatory Fish,2.4000000000000004,Oceans worldwide,Endangered,Cheloniidae,45-70,35,Solitary,Varies
86,Green Sea Turtle,70-120,68-190,Green,80,herbivore,Oceans,"Sharks, Orcas",35,Worldwide,Endangered,Cheloniidae,45-75,35,Solitary,Not Applicable
87,Grevy's Zebra,130-160,350-450,"White, Black",20-30,herbivore,Grasslands,"Lions, Hyenas",64,Eastern Africa,Endangered,Equidae,390-396,64,Herd-based,1
90,Harp Seal,Up to 180,Up to 160,"Silver, Gray",20-35,carnivore,"Arctic, Atlantic Ocean","Polar Bears, Orcas",20.5,"Arctic, Atlantic Ocean",Least Concern,Phocidae,335,28,Group-based,1
91,Harpy Eagle,86-107,4.5-9,"Black, White",25-35,carnivore,Rainforests,"Jaguars, Snakes",50,Central and South America,Near Threatened,Accipitridae,56-58,50,Solitary,1
92,Hippopotamus,120-160,1300-3200,Grey,40-50,herbivore,"Rivers, Lakes","Lions, Crocodiles",25,Sub-Saharan Africa,Vulnerable,Hippopotamidae,230-250,30,Group-based,1
93,Horseshoe Crab,Up to 56,Up to 2.3,Brownish-gray,Up to 20 years,carnivore,"Ocean Floor, Coastal Areas","Birds, Predatory Fish",1.2000000000000002,"Atlantic Ocean, Gulf of Mexico",Vulnerable,Limulidae,2 weeks,Not Applicable,Solitary,Thousands
94,Hummingbird,7.5-13,2-20,Various,3-5,carnivore,Americas,"Birds of Prey, Snakes",60.0,Americas,Least Concern,Trochilidae,13-22,80,Solitary,1-3
95,Humpback Whale,Up to 1700,Up to 30000,"Black, White",45-50,omnivore,Oceans,Orcas,25.5,Worldwide,Least Concern,Balaenopteridae,365,24-27,Solitary,1
96,Iberian Lynx,60-70,9-14,Yellowish-brown,10-13,carnivore,Mediterranean Scrublands,"Humans, Wildcats",75.0,"Spain, Portugal",Endangered,Felidae,63-67,70-80,Solitary,1-4
97,Indri,Up to 70,Up to 6,"Black, White",15-18,herbivore,Rainforests,"Fossa, Birds of Prey",25.5,Madagascar,Critically Endangered,Indridae,120-140,24-27,Solitary,1
98,Japanese Giant Hornet,35-55,Up to 6,"Yellow, Black",3-6,carnivore,"Forests, Mountains","Birds, Bees",49.0,"Japan, China, Southeast Asia",Not Evaluated,Vespidae,1 week,Not Applicable,Colony-based,Thousands
99,Japanese Macaque,50-60,10-14,Brown,20-30,omnivore,"Forests, Mountains","Humans, Leopards",30,"Japan, China, North Korea",Least Concern,Cercopithecidae,173-194,30,Social groups,1
101,Kangaroo Rat,7-15,0.035-0.15,"Brown, Gray",2-5,herbivore,Deserts,"Snakes, Birds of Prey",16,North America,Least Concern,Heteromyidae,22-24,16,Solitary,2-5
102,King Cobra,Up to 550,Up to 9,Olive-green,20-30,carnivore,"Grasslands, Forests","Birds, Snakes",20,"Southeast Asia, South Asia",Vulnerable,Elapidae,90-113,20,Solitary,20-40
103,Kiwi,25-46,1.0-3.3,Brown,25-50,omnivore,Forests,"Stoats, Cats",8.0,New Zealand,Vulnerable,Apterygidae,63-92,9,Solitary,1
104,Komodo Dragon,Up to 300,Up to 90,Grey,20-30,carnivore,"Islands, Grasslands","Humans, Larger Predators",20,Indonesia,Vulnerable,Varanidae,7-8 months,20,Solitary,20-25
105,Leaf-tailed Gecko,Up to 25,Up to 250,Various,10-15,carnivore,"Rainforests, Madagascar","Birds, Snakes",0.9,Madagascar,Not Evaluated,Gekkonidae,45-60,Not Applicable,Solitary,1-2
107,Lemur,30-50,0.6-3.5,Various,15-25,omnivore,"Rainforests, Madagascar","Fossa, Hawks",26.5,Madagascar,Vulnerable,Lemuridae,134-138,29,Group-based,1-2
108,Lemur,30-65,0.6-4.5,Varies,15-25,herbivore,Forests,Fossa,29,Madagascar,Critically Endangered,Lemuridae,120-135,29,Group-based,1
110,Lyrebird,80-100,0.9-1.2,"Brown, Black",15-20,omnivore,Rainforests,"Birds of Prey, Dingoes",0.025,Australia,Least Concern,Menuridae,50-55,Not Applicable,Solitary,1
113,Manatee,300-400,400-590,"Gray, Brown",40-60,herbivore,"Rivers, Coastal Areas","Alligators, Sharks",8,"North, Central, and South America",Vulnerable,Trichechidae,365-450,8,Solitary,1
115,Maned Wolf,67-107,20-25,Reddish-Brown,6-8,omnivore,"Grasslands, Forests","Jaguars, Pumas",56,South America,Near Threatened,Canidae,65-70,56,Solitary,2-6
116,Mantis Shrimp,Up to 30,Up to 2.7,Various,Up to 20,carnivore,Coral Reefs,Larger Fish,40.0,Oceans worldwide,Not Evaluated,Stomatopoda,20-30,30-50,Solitary,Hundreds
117,Markhor,Up to 115,Up to 110,"Brown, Gray",10-13,herbivore,Mountains,"Wolves, Snow Leopards",52.0,"Central Asia, South Asia, Middle East",Near Threatened,Bovidae,135-170,40-64,Solitary,1-2
118,Meerkat,25-35,0.6-1,"Brown, Tan",12-14,omnivore,Arid regions,"Eagles, Jackals",32,"Kalahari Desert, Africa",Least Concern,Herpestidae,70-73,32,Social groups,2-5
120,Mountain Gorilla,120-200,70-200,"Black, Brown",35-40,herbivore,"Rainforests, Mountains","Leopards, Humans",40,"Democratic Republic of Congo, Uganda",Endangered,Hominidae,255-270,40,Group-based,1
121,Naked Mole Rat,Up to 9,Up to 80,"Pink, Wrinkled",Up to 32,herbivore,Underground Tunnels,"Snakes, Humans",0.055,East Africa,Least Concern,Heterocephalidae,70,Not Applicable,Eusocial,Up to 28
122,Narwhal,Up to 500,Up to 1600,"Gray, Mottled White",50-60,carnivore,Arctic Waters,"Polar Bears, Orcas",45,Arctic,Near Threatened,Monodontidae,14-16 months,45,Solitary,1
124,Numbat,35-45,0.32-1,"Red, White",Up to 5,carnivore,Eucalyptus Forests,"Foxes, Cats",8,Western Australia,Endangered,Myrmecobiidae,14,8,Solitary,4-6
125,Okapi,200-250,200-350,"Brown, White",20-30,herbivore,Central Africa,"Leopards, Lions",56,Democratic Republic of Congo,Endangered,Giraffidae,440-450,58,Solitary,1
126,Okapi,200-250,200-350,"Dark Brown, White",20-30,herbivore,Rainforests,"Leopards, Humans",58,Democratic Republic of Congo,Endangered,Giraffidae,420-450,58,Solitary,1
127,Orangutan,Up to 160,30-82,Reddish-brown,30-45,omnivore,Rainforests,"Tigers, Humans",9.0,"Indonesia, Malaysia",Critically Endangered,Hominidae,230-250,40,Solitary,1
128,Pangolin,30-100,2-40,"Brown, Yellowish",10-20,carnivore,"Grasslands, Forests","Lions, Tigers",32,"Asia, Africa",Critically Endangered,Manidae,240-260,32,Solitary,1
129,Patagonian Mara,45-75,5.5-16,"Brown, Gray",5-10,herbivore,Grasslands,"Foxes, Birds of Prey",30,"Argentina, Chile",Least Concern,Caviidae,75-80,30,Group-based,1-3
134,Polar Bear,Up to 160,Up to 700,White,25-30,carnivore,Arctic,Orcas,40,Arctic,Vulnerable,Ursidae,195-265,40,Solitary,1-2
136,Praying Mantis,Up to 15,0.02-0.5,Various,6-12,carnivore,Worldwide,"Birds, Spiders",0.6,Worldwide,Not Evaluated,Mantidae,10-60,Not Applicable,Solitary,Up to 400
137,Proboscis Monkey,45-75,14-24,"Orange, Brown",Up to 15,herbivore,"Mangroves, Rainforests",Clouded Leopards,28.0,"Borneo, Malaysia",Endangered,Cercopithecidae,166-200,24-32,Social groups,1
139,Pufferfish,Up to 60,Up to 0.8,Various,3-10,carnivore,Tropical and Subtropical,"Sharks, Humans",8,Oceans worldwide,Not Evaluated,Tetraodontidae,Not Applicable,8,Solitary,Not Applicable
140,Quokka,40-54,2.5-5,"Brown, Gray",5-10,herbivore,"Scrublands, Forests","Foxes, Cats",24,Australia,Vulnerable,Macropodidae,25-30,24,Solitary,1
141,Red Fox,35-50,3-7,Reddish-brown,3-5,omnivore,"Forests, Grasslands","Wolves, Eagles",48,"North America, Europe, Asia",Least Concern,Canidae,52,48,Solitary,4-6
142,Red Kangaroo,140-180,18-95,"Brown, Red",Up to 23,herbivore,Grasslands,"Dingoes, Eagles",56,Australia,Least Concern,Macropodidae,30-34,56,Group-based,1
143,Red Panda,50-65,3-6,Reddish-brown,8-12,herbivore,Himalayan Foothills,"Snow Leopards, Martens",0.30000000000000004,"China, Nepal, Bhutan, India",Endangered,Ailuridae,112-158,0.2-0.4,Solitary,1-4
145,Rottweiler,56-69,36-60,"Black, Tan",8-10,carnivore,Worldwide,"Wolves, Coyotes",35,Worldwide,Not Applicable,Canidae,61-65,32,Pack-based,6-12
146,Saola,Up to 90,Up to 100,"Brown, White",Up to 21,herbivore,Forests,"Tigers, Leopards",26,"Vietnam, Laos",Critically Endangered,Bovidae,240,26,Solitary,1
147,Secretary Bird,100-150,2.3-4.5,"Black, Grey",10-15,carnivore,"Grasslands, Savannas","Snakes, Lizards",24,Africa,Least Concern,Sagittariidae,42-46,32,Solitary,2
148,Serval,54-62,8-18,"Yellowish-Tan, Black",10-12,carnivore,"Grasslands, Wetlands","Leopards, Hyenas",44,Africa,Least Concern,Felidae,54-72,44,Solitary,1
149,Shoebill,110-140,4-6,Grayish-brown,30-35,carnivore,"Swamps, Marshes","Crocodiles, Snakes",15.0,Tropical Central Tropical Africa,Vulnerable,Balaenicipitidae,30-35,14-16,Solitary,1-3
150,Shortfin Mako Shark,Up to 394,Up to 800,Metallic Blue,28-35,carnivore,Oceans,Larger Sharks,45,Worldwide,Vulnerable,Lamnidae,20-24,45,Solitary,1
151,Siberian Husky,50-60,16-27,Various,12-14,carnivore,Cold Regions,"Wolves, Bears",57.5,"Siberia, Alaska",Not Applicable,Canidae,60-63,48,Pack-based,4-6
152,Sloth,50-60,3.6-9,"Brown, Gray",10-16,herbivore,Rainforests,"Jaguars, Harpy Eagles",0.135,Central and South America,Least Concern,Bradypodidae,120-180,0.03-0.24,Solitary,1
154,Snow Leopard,50-70,22-75,"Grayish-yellow, Black",10-15,carnivore,"Mountains, Steppes","Humans, Wolves",50.0,Central and South Asia,Vulnerable,Felidae,90-100,40-60,Solitary,1-5
155,Snowy Owl,52-71,1.6-3.3,White,10-15,carnivore,"Arctic, North America","Foxes, Wolves",80,"Arctic, North America",Least Concern,Strigidae,32-34,80,Solitary,3-11
156,Spectacled Bear,120-200,35-77,"Black, Tan",10-25,omnivore,Forests,"Jaguars, Pumas",45,South America,Vulnerable,Ursidae,200-294,45,Solitary,1
157,Sperm Whale,Up to 2056,Up to 57000,Gray,50-60,carnivore,Oceans,Orcas,60,Worldwide,Vulnerable,Physeteridae,50-60,60,Solitary,1
158,Spider Monkey,35-64,6-9,"Brown, Black",25-36,omnivore,Rainforests,"Jaguars, Pumas",45,Central and South America,Vulnerable,Atelidae,110-160,45,Group-based,1
159,Spotted Hyena,70-92,44-64,Yellowish-brown,12-25,carnivore,"Grasslands, Savannahs","Lions, Leopards",60.0,Sub-Saharan Africa,Least Concern,Hyaenidae,90-110,56,Group-based,1-4
160,Squirrel Monkey,25-35,0.5-1,"Yellowish-Orange, Black",Up to 20,omnivore,Rainforests,"Snakes, Hawks",30,Central and South America,Least Concern,Cebidae,15-20,30,Group-based,40-50
162,Sumatran Orangutan,66-100,23-56,Reddish-Brown,30-50,omnivore,Rainforests,"Tigers, Humans",35,Sumatra,Critically Endangered,Hominidae,90-100,35,Solitary,1
163,Sumatran Rhino,100-145,750-950,Reddish-Brown,30-45,herbivore,Rainforests,"Tigers, Humans",40,Southeast Asia,Critically Endangered,Rhinocerotidae,430-640,40,Solitary,1
164,Sumatran Rhinoceros,112-145,500-950,Brown,35-40,herbivore,Rainforests,"Tigers, Humans",52.0,Southeast Asia,Critically Endangered,Rhinocerotidae,425-475,40,Solitary,1
166,Sun Bear,120-150,27-80,Black,25-30,omnivore,Tropical Forests,"Tigers, Leopards",44.0,Southeast Asia,Vulnerable,Ursidae,90-150,32-56,Solitary,1-2
167,Tapir,70-120,150-400,"Brown, Black",25-30,herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",48,South and Central America,Vulnerable,Tapiridae,390-395,48,Solitary,1
168,Tarsier,Up to 16,Up to 0.2,"Gray, Brown",12-20,carnivore,Rainforests,"Birds, Snakes",45.0,"Southeast Asia, Philippines",Vulnerable,Tarsiidae,180-210,40-50,Solitary,1
169,Tasmanian Devil,30-76,4-14,"Black, White",5-8,carnivore,"Forests, Grasslands",Tasmanian Tigers,16,"Tasmania, Australia",Endangered,Dasyuridae,21-28,16,Solitary,20-30
170,Tasmanian Tiger,100-130,20-30,Yellow-brown,4-7,carnivore,Australia,"Humans, Dingoes",56.0,Australia,Extinct,Thylacinidae,121-128,40-72,Solitary,1-4 (usually 2-3)
172,Thorny Devil,Up to 20,Up to 85,"Brown, Tan",5-20,carnivore,"Desert, Scrublands","Birds, Snakes",0.24,Australia,Least Concern,Agamidae,Not Applicable,Not Applicable,Solitary,Not Applicable
173,Three-Toed Sloth,46-58,Up to 8,"Brown, Gray",10,herbivore,Rainforests,Harpy Eagles,20,Central and South America,Least Concern,Bradypodidae,30-40,20,Solitary,1-2
174,Tibetan Mastiff,61-78,63-75,"Black, Brown, Gray",10-12,omnivore,Human Dwellings,Not Applicable,45,"Asia, Tibet",Not Applicable,Canidae,58-82,45,Social groups,1-10
175,Tiger,108-133,100-390,"Orange, Black Stripes",10-15,carnivore,Rainforests,"Humans, Leopards",28,"Asia, Russia",Endangered,Felidae,280-310,28,Solitary,1-4
176,Titanoboa,Up to 1440,Up to 24950,Dark Brown,10-15,carnivore,Wetlands,"Fish, Crocodiles",27,South America,Extinct (around 58 million years ago),Boidae,420-470,27,Solitary,Not Applicable
177,Toco Toucan,55-65,540-700,"Black, Orange, Yellow",6-10,omnivore,Rainforests,"Birds of Prey, Jaguars",35.5,South America,Least Concern,Ramphastidae,17-20,56-64,Flocks,2-4
178,Tree Kangaroo,51-79,4-8,"Brown, Red",15-20,herbivore,Rainforests,"Quolls, Pythons",30,"Papua New Guinea, Indonesia",Endangered,Macropodidae,126-130,30,Solitary,1
181,Tufted Puffin,35-41,0.4-1,"Black, White",Up to 20,carnivore,Coastal Areas,"Eagles, Falcons",17,North Pacific,Least Concern,Alcidae,122-130,17,Social groups,1
182,Uakari,46-56,2-3,"Bald, Red",10-15,omnivore,Rainforests,"Jaguars, Snakes",20,Amazon Basin,Vulnerable,Pitheciidae,120-130,20,Group-based,1-6
183,Vampire Bat,Up to 9,Up to 0.05,Brown,8-12,carnivore,"Caves, Forests","Hawks, Owls",32.0,Americas,Least Concern,Phyllostomidae,50-70,24-40,Colony-based,1
189,Western Gorilla,140-200,68-182,Black,30-40,herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220-270,40,Social groups,1
190,Western Lowland Gorilla,140-200,68-181,Black,30-40,herbivore,Rainforests,"Leopards, Humans",40,Central Africa,Critically Endangered,Hominidae,220-270,40,Social groups,1
192,White Rhinoceros,1400-2300,1800-2500,Gray,40-50,herbivore,Grasslands,"Lions, Hyenas",45,Eastern and Southern Africa,Near Threatened,Rhinocerotidae,240-300,45,Group-based,1-14
193,White Tiger,240-260,100-300,"White, Black Stripes",10-15,carnivore,Rainforests,"Humans, Leopards",22,"India, Southeast Asia",Critically Endangered,Felidae,230-260,22,Solitary,1
194,Wild Boar,65-100,30-120,"Brown, Black",10-25,omnivore,"Forests, Grasslands","Tigers, Leopards",20,"Eurasia, North Africa, Americas",Least Concern,Suidae,160-190,20,Group-based,6-30
